seed,policy,threshold,coverage,abstention_rate,selective_accuracy,selective_macro_f1,error_rate_on_covered,review_rate,absent_recall,new_recall,persistent_recall,resolved_recall
21,confidence_margin,0.65,0.919047619047619,0.08095238095238096,0.772020725388601,0.3463257816630666,0.227979274611399,0.2857142857142857,0.9171974522292994,0.13333333333333333,0.14285714285714285,0.14285714285714285
21,confidence_margin,0.7,0.9047619047619048,0.09523809523809523,0.7789473684210526,0.3540752351097179,0.2210526315789474,0.2857142857142857,0.9285714285714286,0.13333333333333333,0.14285714285714285,0.14285714285714285
21,confidence_margin,0.75,0.8761904761904762,0.12380952380952381,0.782608695652174,0.3630824372759856,0.21739130434782605,0.30952380952380953,0.9266666666666666,0.14285714285714285,0.16666666666666666,0.14285714285714285
21,confidence_margin,0.8,0.8380952380952381,0.1619047619047619,0.7954545454545454,0.3185452002098269,0.20454545454545459,0.319047619047619,0.9379310344827586,0.14285714285714285,0.0,0.16666666666666666
21,change_sensitive,0.55,0.8857142857142857,0.11428571428571428,0.7473118279569892,0.36573374945467974,0.25268817204301075,0.28095238095238095,0.8571428571428571,0.25,0.14285714285714285,0.23076923076923078
21,change_sensitive,0.6,0.8809523809523809,0.11904761904761904,0.745945945945946,0.36552819161514816,0.254054054054054,0.2857142857142857,0.8562091503267973,0.25,0.14285714285714285,0.23076923076923078
21,change_sensitive,0.65,0.8809523809523809,0.11904761904761904,0.745945945945946,0.36552819161514816,0.254054054054054,0.2857142857142857,0.8562091503267973,0.25,0.14285714285714285,0.23076923076923078
21,change_sensitive,0.7,0.8809523809523809,0.11904761904761904,0.745945945945946,0.36552819161514816,0.254054054054054,0.2857142857142857,0.8562091503267973,0.25,0.14285714285714285,0.23076923076923078
21,change_sensitive,0.75,0.8571428571428571,0.14285714285714285,0.7444444444444445,0.36685061825148035,0.25555555555555554,0.30952380952380953,0.8523489932885906,0.2727272727272727,0.14285714285714285,0.23076923076923078
21,change_sensitive,0.8,0.8476190476190476,0.1523809523809524,0.7471910112359551,0.36953404826880437,0.2528089887640449,0.319047619047619,0.8513513513513513,0.2727272727272727,0.14285714285714285,0.25
21,low_confidence_only,0.55,0.9476190476190476,0.05238095238095238,0.7638190954773869,0.35791666666666666,0.2361809045226131,0.28095238095238095,0.9012345679012346,0.13333333333333333,0.14285714285714285,0.2
21,low_confidence_only,0.6,0.9285714285714286,0.07142857142857142,0.764102564102564,0.3427293323787013,0.23589743589743595,0.2857142857142857,0.9056603773584906,0.13333333333333333,0.14285714285714285,0.14285714285714285
21,low_confidence_only,0.65,0.919047619047619,0.08095238095238096,0.772020725388601,0.3463257816630666,0.227979274611399,0.2857142857142857,0.9171974522292994,0.13333333333333333,0.14285714285714285,0.14285714285714285
21,low_confidence_only,0.7,0.9047619047619048,0.09523809523809523,0.7789473684210526,0.3540752351097179,0.2210526315789474,0.2857142857142857,0.9285714285714286,0.13333333333333333,0.14285714285714285,0.14285714285714285
21,low_confidence_only,0.75,0.8761904761904762,0.12380952380952381,0.782608695652174,0.3630824372759856,0.21739130434782605,0.30952380952380953,0.9266666666666666,0.14285714285714285,0.16666666666666666,0.14285714285714285
21,low_confidence_only,0.8,0.8380952380952381,0.1619047619047619,0.7954545454545454,0.3185452002098269,0.20454545454545459,0.319047619047619,0.9379310344827586,0.14285714285714285,0.0,0.16666666666666666
42,strict,0.55,0.6912442396313364,0.3087557603686636,0.86,0.23118279569892472,0.14,0.3087557603686636,0.9847328244274809,0.0,0.0,0.0
42,strict,0.6,0.6912442396313364,0.3087557603686636,0.86,0.23118279569892472,0.14,0.3087557603686636,0.9847328244274809,0.0,0.0,0.0
42,strict,0.65,0.6866359447004609,0.31336405529953915,0.8590604026845637,0.23104693140794225,0.14093959731543626,0.31336405529953915,0.9846153846153847,0.0,0.0,0.0
42,strict,0.7,0.6820276497695853,0.31797235023041476,0.8581081081081081,0.2309090909090909,0.14189189189189189,0.31797235023041476,0.9844961240310077,0.0,0.0,0.0
42,strict,0.75,0.6820276497695853,0.31797235023041476,0.8581081081081081,0.2309090909090909,0.14189189189189189,0.31797235023041476,0.9844961240310077,0.0,0.0,0.0
42,strict,0.8,0.6682027649769585,0.3317972350230415,0.8689655172413793,0.23247232472324722,0.13103448275862073,0.3317972350230415,0.984375,0.0,0.0,0.0
